                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     50,                0.02084,               0.012817,               0.015725,                      0,                0.91422,                0.31224,                0.33913,                0.29336,                0.95193,                  0.318,                 0.3619,                0.31616,               0.022605,               0.015579,               0.014422,                      0,               0.005149,               0.005149,               0.005149
                     51,               0.021191,               0.012753,               0.015754,                      0,                0.89732,                0.31594,                0.34231,                0.29163,                0.87775,                0.32293,                0.36462,                0.31802,               0.023553,               0.014932,               0.014581,                      0,                0.00505,                0.00505,                0.00505
                     52,               0.019758,               0.012057,               0.015224,                      0,                 0.9182,                0.31553,                0.33899,                0.29587,                0.93026,                0.31964,                0.35766,                0.31486,                0.02263,               0.015376,               0.014585,                      0,               0.004951,               0.004951,               0.004951
                     53,               0.021088,               0.012696,               0.015264,                      0,                0.91749,                0.31389,                0.33843,                0.28889,                 0.9247,                0.31635,                0.35351,                0.30482,               0.023796,               0.015273,               0.014978,                      0,               0.004852,               0.004852,               0.004852
                     54,               0.020817,               0.012564,               0.014838,                      0,                0.91558,                0.31193,                0.34373,                0.29913,                0.91453,                 0.3165,                0.35999,                0.31537,               0.022798,               0.014994,               0.014708,                      0,               0.004753,               0.004753,               0.004753
                     55,               0.019605,               0.012083,               0.015242,                      0,                 0.9117,                 0.3106,                0.33925,                0.29293,                0.92834,                0.31553,                0.35791,                0.31713,               0.022858,               0.015129,               0.014909,                      0,               0.004654,               0.004654,               0.004654
                     56,               0.019998,               0.011911,               0.015111,                      0,                0.91867,                0.31635,                0.34566,                0.29352,                0.93079,                0.32045,                0.35896,                0.31034,                0.02354,               0.015225,               0.014216,                      0,               0.004555,               0.004555,               0.004555
                     57,               0.020012,                0.01249,               0.015022,                      0,                 0.9055,                0.31635,                0.34408,                0.29482,                0.90441,                0.31873,                0.35717,                0.31394,                0.02234,               0.014939,               0.015169,                      0,               0.004456,               0.004456,               0.004456
                     58,               0.019432,               0.012099,               0.014919,                      0,                0.91388,                0.31389,                0.34774,                0.30438,                0.92904,                0.31717,                 0.3625,                0.31888,               0.022217,               0.014975,               0.014251,                      0,               0.004357,               0.004357,               0.004357
                     59,               0.018986,               0.012239,               0.014446,                      0,                0.92926,                 0.3106,                0.33909,                0.29978,                0.94155,                0.31471,                0.35738,                 0.3128,               0.022201,                0.01511,               0.015002,                      0,               0.004258,               0.004258,               0.004258
                     60,               0.019501,               0.012184,               0.014344,                      0,                0.90627,                0.31389,                 0.3431,                0.30271,                0.91827,                  0.318,                0.35931,                0.31185,               0.021671,               0.015394,               0.014808,                      0,               0.004159,               0.004159,               0.004159
                     61,               0.018333,               0.011529,               0.013924,                      0,                0.92768,                0.31635,                0.34612,                0.29804,                0.94044,                0.31635,                0.35494,                0.31383,               0.022128,               0.015842,               0.014584,                      0,                0.00406,                0.00406,                0.00406
